PCA 1,PCA 2,PCA 3,PCA 4,PCA 5,PCA 6,PCA 7,PCA 8,PCA 9,PCA 10,PCA 11,PCA 12,PCA 13,PCA 14,PCA 15,PCA 16,PCA 17,PCA 18,PCA 19,PCA 20,PCA 21,PCA 22,PCA 23,PCA 24,PCA 25,PCA 26,PCA 27,PCA 28,PCA 29,PCA 30,PCA 31,PCA 32,PCA 33,PCA 34,PCA 35,PCA 36,PCA 37,PCA 38,PCA 39,PCA 40
-290382402.5003175,2393411938.0075445,557643772.8743336,-319731116.58100736,-465909507.37180895,-586193705.9181482,1029087047.8186406,1740491710.7973545,286430761.83406174,613457910.8339871,-445495703.4270371,-9004104.913585711,-8983405.338357965,-445185870.7062245,546616584.9937917,-123481658.13272765,154091505.88469076,-361568286.9848591,669731478.5226904,568421860.1749967,-631658144.8437116,7103018250.467429,649064935.860985,-2052947878.0096812,3137219.1760458676,-470567424.32160294,382049641.8270415,279096238.199835,351126353.68239707,3257464.0259241536,-562866563.7106768,-1173556437.981914,-314456825.24365276,529489347.0618369,992250399.9839811,2215063208.612577,145390634.22907567,224970599.48960525,355737270.90384346,-356790637.2989677
-495813690.57698524,4094153267.7303033,958765752.2293494,-547504489.4374514,-797369912.8240241,-1000726353.9583294,1759042187.436951,2978298467.1183686,489365985.0187718,1049314935.724606,-760593293.7470337,-15464228.094475633,-15428576.475015676,-761560521.4032782,935104408.6323858,-211029306.6259491,264534506.3613227,-615983289.873426,1145978601.4334033,967143875.5812018,-1080176507.0405133,12150479846.19262,1110893924.6234765,-3513090217.838568,4957702.738379909,-804425335.050496,651072086.6138419,477081191.60589516,601953585.8342268,3824782.418921813,-962680298.7241303,-2006859995.6587896,-536489987.4363873,909032918.4234023,1696576053.3404725,3789358283.018815,246339094.5712957,384916355.38654226,609559193.722326,-610219198.5871716
-577604637.3981547,4771043854.748909,1118252927.3382704,-638139405.791139,-929277867.1570358,-1165775220.0408924,2049605364.84027,3470909277.1834354,570153310.8926705,1222787514.419449,-886049157.1708546,-18033360.308207747,-17991766.593220238,-887476055.5164557,1089719619.9282122,-245879379.58846995,308460046.2872195,-717321580.5107396,1335512809.881615,1126003593.8042777,-1258696820.176932,14159353862.87959,1294680888.5605886,-4094180628.7968836,5695626.5793555565,-937317078.3978671,758222447.7985392,555889672.906857,701739257.9102076,4107660.713901025,-1121810438.6540027,-2338533500.805058,-624904999.0175381,1059983649.9486654,1976920331.9831536,4415914129.066567,286593560.75137174,448571778.2610522,710546027.4677951,-711086632.873282
-763303404.6725321,6308344657.684138,1480777079.9700334,-844017811.4722605,-1228880985.2600799,-1540492053.704859,2709425495.1209455,4589752651.941414,753592680.5763845,1616759289.507876,-1170881140.9511302,-23872023.89679598,-23816881.52001986,-1173446867.0697775,1440873184.5174317,-325015828.3613006,408279648.5147649,-947313294.9994863,1765989215.4880824,1486462059.419278,-1664116078.6651504,18721755034.388428,1712122034.9959283,-5413989833.646286,7345349.9037404535,-1239096746.0907984,1001417287.6638068,734851873.8814235,928448486.5101656,4638410.307124186,-1483203744.3433714,-3091763061.4963236,-825615417.3767766,1403019142.440111,2613568483.9443297,5838917182.119659,377865240.7689379,593145938.0171753,939964993.1788393,-940161852.9106544
-1197412224.7817912,9902633804.333984,2328722380.59878,-1325413129.624446,-1929396358.6887696,-2416457014.573827,4252026682.385241,7205739475.7181835,1182440998.1813114,2537881738.6690707,-1836729022.1986344,-37527514.217174515,-37440718.726761766,-1842063635.3409445,2261893247.379781,-510026895.4841381,641730447.0334729,-1484867678.3351612,2772489674.1532755,2328864460.08274,-2611983924.067184,29388894274.655083,2688164226.9217625,-8499867327.3676605,11173552.337683316,-1944636216.2300956,1569845062.371855,1153250708.240962,1458600030.2011645,5755558.649992482,-2328149225.9208994,-4852809551.182337,-1294786376.4023468,2205287730.3470707,4102030908.353418,9165992554.522846,591095535.5379468,931173820.7569951,1476432118.7348838,-1475744290.703979
-1695933647.8016706,14030279001.851974,3302519370.931898,-1878245667.9809227,-2733863146.365354,-3422395899.0208144,6023527545.673547,10209917585.45845,1674922963.2890632,3595689129.6924376,-2601374390.134558,-53209654.97959601,-53086520.291160025,-2609896528.0014086,3204744727.176523,-722490685.3097548,909827905.9878445,-2102176637.423373,3928346375.7840776,3296243949.3451586,-3700504048.1325,41638929451.75508,3809044351.62961,-12043664732.198952,15567706.546966862,-2754867863.3952208,2222608985.9724417,1633733930.4963691,2067427527.8544438,7029423.503836156,-3298475273.837468,-6875174365.622429,-1833570232.7814891,3126621980.0945783,5811362096.287904,12986773639.018572,835954821.8904939,1319362048.347547,2092510929.6532571,-2090801208.2908597
-2112794307.0944955,17481688529.780724,4116711954.963239,-2340499324.1371074,-3406528139.9175615,-4263558388.2893863,7504819671.900827,12721904612.551815,2086729366.6970615,4480195843.35743,-3240767314.997057,-66321719.07739503,-66168196.02398699,-3251934275.1708794,3993127048.495264,-900149052.0664595,1133989792.8777726,-2618385587.545337,4894833509.119817,4105207701.446388,-4610695552.207064,51882029301.0387,4746281414.174394,-15006860543.152908,19247532.794065345,-3432365721.3736796,2768463642.585426,2035503774.972047,2576492299.8171673,8118448.869273016,-4109834081.8759885,-8566221831.59901,-2284104023.561834,3896968323.46416,7240662459.730232,16181588937.106924,1040730863.9951429,1643951943.803757,2607642839.329255,-2605094240.0990343
-2865633426.2567277,23715219014.66904,5587454541.899252,-3175396398.3633857,-4621436110.607781,-5782666590.317788,10180090198.601814,17258811871.577,2830455699.6501484,6077684938.878779,-4395490196.930186,-90006304.41850808,-89797876.1801059,-4411508929.653578,5417014097.484087,-1221004831.7528272,1538892115.5174959,-3550575780.8811197,6640405936.43996,5566002982.025542,-6254559845.267331,70381918580.30292,6439039361.788535,-20358703555.1792,25873138.53838854,-4655956539.071512,3754199046.4265146,2761116401.7458277,3495971340.376792,9997826.2073766,-5575207316.3934145,-11620362312.867344,-3097734272.9715285,5288442307.022072,9822058783.505745,21951703460.626106,1410454912.570244,2230192267.4462442,3538065565.298507,-3533944703.7881484
-2275970883.2999434,18831848625.30314,4434659584.345714,-2521262923.9932513,-3669624057.720582,-4592843942.945719,8084437305.883014,13704453613.325594,2247893097.0329895,4826213760.825104,-3491060306.8769636,-71443921.67587769,-71278568.49758203,-3503090321.77082,4301527530.565162,-969670034.6820583,1221571449.6653545,-2820609615.4802184,5272875378.551846,4422261897.058572,-4966792372.340216,55889024494.76418,5112850428.304316,-16165883160.127892,20733776.551392607,-3697456718.477761,2982278669.7083006,2192711338.35479,2775482689.1800385,8744589.369065315,-4427248047.706911,-9227814913.325178,-2460511121.696687,4197943761.7503505,7799878875.071103,17431338849.1077,1121108234.8730242,1770919007.1190362,2809038930.576786,-2806292937.6138515
-2712469145.034342,22445814554.825104,5287177897.852427,-3005285577.2301383,-4373968906.45528,-5473632956.151413,9635502032.826973,16334747123.62524,2679097681.698661,5752379807.7827835,-4160574271.170135,-85173273.11950247,-84976092.46136242,-4175367058.080461,5127041361.712397,-1155696707.5943341,1456286906.5482514,-3361142425.337969,6284881086.836617,5269349761.411095,-5919854097.433205,66614559197.736534,6094227309.615368,-19268635485.946953,24588728.838996187,-4406866058.748963,3553853178.449842,2613405466.0261636,3308517833.7211514,9892698.358382704,-5276821426.470603,-10998511133.83875,-2932270769.9247413,5004557822.992625,9296500557.097279,20776624026.839622,1335539471.1036425,2110796242.4703505,3348428250.296323,-3344808927.52464
-3617936806.298918,29943171029.521126,7056144804.475182,-4009459398.345069,-5835198040.000091,-7300719777.988704,12853164289.72838,21791503871.403137,3573607376.368306,7673753624.002911,-5549402100.709395,-113660277.91820374,-113397072.86747383,-5570041577.338611,6839616890.758883,-1541603358.2913623,1943288839.2692826,-4482311972.299814,8384364659.992541,7026277060.105732,-7897003505.006807,88865235660.63611,8130190434.433989,-25705555596.970448,32554551.700945795,-5878531600.206431,4739424409.653968,3486130850.302764,4414427879.437815,12140017.833285617,-7039292702.795872,-14671863114.486687,-3910851035.0293994,6678172973.161949,12401260025.548944,27716610715.73779,1780206021.4842963,2815895303.854657,4467498655.554419,-4461979721.1074915
-4144060536.852309,34299270428.461224,8083783184.450429,-4592883199.727065,-6684185487.796052,-8362357709.707819,14722727952.224829,24961943548.08519,4093353825.8582044,8790108513.1223,-6356385441.768303,-130209656.13728188,-129908107.47773996,-6380371718.956859,7834652002.873764,-1765828727.4615505,2226214009.980074,-5133816085.387881,9604191041.794369,8047257936.409042,-9045774157.188011,101793276531.00081,9313101336.027954,-29445477619.23949,37196525.39361482,-6733613397.54031,5428345256.031062,3993211430.2979207,5056937265.525142,13504437.235490555,-8063325539.61632,-16806167640.15057,-4479471450.653865,7650463095.8916645,14205206823.344635,31748858572.190502,2038644722.5307124,3225567789.99034,5117663932.246057,-5111079625.397574
-4424157009.465482,36618073302.17826,8630622394.27263,-4903424736.3855295,-7136096746.829141,-8927556464.645868,15717968302.51775,26649566879.37125,4370043772.343983,9384359627.354164,-6786007990.559758,-139016717.3333525,-138694773.14583257,-6811718878.132416,8364318353.5247345,-1885194026.8348122,2376782453.1689916,-5480714793.956447,10253506024.463753,8590935344.201101,-9657290945.104805,108675020392.91551,9942755615.767357,-31436231424.16821,39683008.9422858,-7188803352.27905,5795159256.409462,4263149248.5877357,5398902445.178254,14297112.716583036,-8608436147.3643,-17942306444.700798,-4782208642.69664,8167899527.280005,15165497762.61019,33895260578.793613,2176304506.9264045,3443638091.549387,5463715141.437723,-5456607091.680275
-4715414463.576994,39029285598.03563,9199262017.710218,-5226342943.474498,-7606018251.510291,-9515276471.009308,16752869107.675982,28404447362.808628,4657759486.8122225,10002292865.137585,-7232749632.403132,-148174855.13497412,-147831704.2923445,-7260256211.270343,8915093170.878933,-2009315978.7152803,2533352837.5720644,-5841434203.668929,10928698168.13964,9156271310.691694,-10293177507.28784,115831017127.316,10597503966.596718,-33506323269.70141,42267932.88802379,-7662132827.274238,6176587795.731793,4543844151.914121,5754497778.021255,15118620.31837098,-9175270370.2988,-19123721941.138023,-5097008351.7415695,8705962131.171839,16164057220.14064,36127201892.797874,2319446621.4044642,3670399105.4473357,5823558888.461062,-5815904422.824045
-3760679199.5407867,31122767665.16027,7332968804.187256,-4167274285.123097,-6064981008.776337,-7588803331.039259,13359817028.261127,22649727140.069313,3714529809.54471,7976071644.317507,-5768365285.971453,-118123159.76582272,-117849701.23682798,-5789463941.158868,7109044699.2145405,-1602380766.7043788,2019620097.6177297,-4659484117.931975,8714582035.15586,7304301154.717257,-8208180823.448651,92366012462.56216,8450331665.328315,-26717898529.461308,33933433.45317364,-6110237130.484884,4926712700.321416,3623545334.0013633,4588020364.765775,13031184.821898533,-7316638887.969176,-15249999797.556913,-4065252180.0641155,6940478582.850896,12889981275.948061,28808425280.108402,1850895168.8152719,2926806388.408869,4643248463.21909,-4637781883.684364
-3273289965.1481256,27086201921.963154,6379955768.324656,-3626557217.138344,-5278209163.955573,-6605352216.72374,11627594580.367523,19711689943.14168,3233001670.910159,6941614400.714831,-5020804737.625272,-102778107.69525479,-102540232.60151787,-5038569636.022958,6186988313.232191,-1394633701.6170568,1757301427.9021463,-4056159974.9618077,7584180863.297468,6359018868.136837,-7143727883.787636,80386267358.45279,7354096643.406715,-23252104774.167767,29695332.280571517,-5317959563.302105,4288708152.5928164,3153713348.5156302,3992436234.7179723,12038130.603652751,-6367746198.880696,-13272349066.64496,-3538561954.159651,6038997996.967991,11218477709.976303,25071910961.525043,1611780914.4261718,2547171725.321972,4040613827.2525043,-4036311732.742288
-3952646704.7098384,32711124230.337738,7706992235.090984,-4379926411.812556,-6374491245.678484,-7976188689.853897,14041695908.927431,23805614857.297268,3904128294.6635165,8383134651.5248375,-6062820268.885534,-124148822.94040793,-123861414.3669789,-6084929125.631133,7471853241.4652,-1684167370.582446,2122649769.8144994,-4897393364.991219,9159317299.11819,7677308304.578965,-8627101749.84286,97079925113.58015,8881569017.263372,-28081392558.07116,35683296.07371564,-6422097509.958757,5178257661.112949,3808488760.850908,4822112289.188118,13773860.071464157,-7690051896.866733,-16028313964.83448,-4272786115.895791,7294541153.4191675,13547857756.936016,30278656154.46403,1945460996.1197195,3076172815.1365347,4880171495.762424,-4874476649.329492
-3280851784.5517616,27147523412.1753,6393592801.267234,-3634672192.8041654,-5290094249.946556,-6620640033.558174,11654135430.584105,19756145840.481964,3240420574.66044,6957339930.33195,-5032415157.704363,-103000506.75513679,-102762118.96518557,-5049971929.643755,6200984334.386691,-1397823838.2199984,1761122845.9504821,-4065759605.06853,7601294428.756232,6374276832.745031,-7159956096.161265,80568238870.49467,7370644990.184918,-23304525146.82219,29830308.896092508,-5330085942.66073,4298825404.475059,3160909399.394508,4001256040.5854435,12355217.243861886,-6382188127.785442,-13302499217.060106,-3546808227.1111546,6052123947.133657,11244001737.318054,25128624606.56051,1615822138.1407948,2552924549.8806553,4049589440.0474105,-4045466985.3050528
